file,line,literal,target_exists,note
admin/dashboards/info-dept.php,2518,/admin/export_pdf.php?format=pdf&filter=all,True,literal exists
admin/dashboards/info-dept.php,2526,/admin/system_health.php,True,literal exists
admin/dashboards/info-dept.php,2530,/admin/reports.php,True,literal exists
admin/dashboards/info-dept.php,3269,/admin/info_manage_member.php?id=,True,literal exists
admin/dashboards/info-dept.php,3340,/admin/info_archive_member.php,True,literal exists
admin/dashboards/info-dept.php,3370,/admin/info_restore_member.php,True,literal exists
admin/dashboards/info-dept.php,3549,/admin/info_manage_member.php,True,literal exists
admin/dashboards/info-dept.php,3759,/admin/api_check_duplicate.php?,True,literal exists
admin/dashboards/info-dept.php,3902,/admin/api_check_duplicate.php?,True,literal exists
admin/dashboards/info-dept.php,3933,/admin/info_register_member.php,False,"REVIEW: may be retired, generated, or relative to an including route"
admin/dashboards/info-dept.php,4212,/admin/api_attendance_info.php?action=update_status,True,literal exists
admin/dashboards/info-dept.php,4250,/admin/api_settings.php?action=,True,literal exists
admin/dashboards/info-dept.php,4257,/admin/api_settings.php?action=,True,literal exists
admin/dashboards/material_department.php,82,/admin/logout.php,True,literal exists
admin/dashboards/material_department.php,87,/admin/dashboard.php,True,literal exists
admin/dashboards/material_department.php,190,/admin/logout.php,True,literal exists
admin/dashboards/school_admin.php,282,/admin/logout.php,True,literal exists
admin/dashboards/school_admin.php,376,/admin/api_export_members.php?tier=all&amp;format=csv,True,literal exists
admin/dashboards/school_admin.php,461,/admin/api_export_members.php?tier=all&amp;format=csv,True,literal exists
admin/dashboards/school_admin.php,553,/admin/logout.php,True,literal exists
admin/dashboards/school_admin.php,606,/admin/dashboard.php,True,literal exists
admin/dashboards/school_admin.php,607,/admin/dashboard.php,True,literal exists
admin/dashboards/school_admin.php,595,/admin/api_list_members.php?,True,literal exists
admin/dashboards/school_admin.php,601,/admin/api_notifications.php?action=list&limit=10,True,literal exists
admin/dashboards/school_admin.php,602,/admin/api_notifications.php,True,literal exists
admin/dashboards/school_admin.php,603,/admin/api_notifications.php?action=count,True,literal exists
admin/dashboards/school_admin.php,606,/admin/api_impersonate.php,True,literal exists
admin/dashboards/school_admin.php,607,/admin/api_impersonate.php,True,literal exists
admin/dashboards/school_admin.php,625,/admin/api_list_members.php?,True,literal exists
admin/dashboards/school_admin.php,666,/admin/api_education.php?action=dashboard,True,literal exists
admin/dashboards/school_admin.php,671,/admin/backend/user-save.php,True,literal exists
admin/dashboards/school_admin.php,672,/admin/backend/user-toggle.php,True,literal exists
admin/dashboards/school_admin.php,1133,/admin/api_education.php?action=get_academic_years,True,literal exists
admin/dashboards/school_admin.php,1195,/admin/api_education.php,True,literal exists
admin/dashboards/school_admin.php,1210,/admin/api_education.php,True,literal exists
admin/dashboards/school_admin.php,1219,/admin/api_education.php,True,literal exists
admin/dashboards/school_admin.php,1234,/admin/tools/year_rollover.php?action=preview,True,literal exists
admin/dashboards/school_admin.php,1250,/admin/tools/year_rollover.php?action=preview&old_year_id=,True,literal exists
admin/dashboards/school_admin.php,1264,/admin/tools/year_rollover.php,True,literal exists
admin/dashboards/school_admin.php,1273,/admin/api_education.php?action=get_terms&year_id=,True,literal exists
admin/dashboards/school_admin.php,1290,/admin/api_education.php,True,literal exists
admin/dashboards/school_admin.php,1294,/admin/api_education.php,True,literal exists
admin/dashboards/school_admin.php,1295,/admin/api_education.php,True,literal exists
admin/dashboards/super-admin.php,628,/admin/dashboards/content_editor.php,True,literal exists
admin/dashboards/super-admin.php,649,/admin/dashboards/ai_assistant.php,True,literal exists
admin/dashboards/super-admin.php,658,/admin/logout.php,True,literal exists
admin/dashboards/super-admin.php,729,/admin/backend/user-delete.php,True,literal exists
admin/dashboards/super-admin.php,745,/admin/backend/user-save.php,True,literal exists
admin/dashboards/super-admin.php,1058,../system_health.php,True,literal exists
admin/dashboards/super-admin.php,1182,/admin/tools/backup.php,True,literal exists
admin/dashboards/super-admin.php,1431,/admin/dashboards/ai_assistant.php,True,literal exists
admin/dashboards/super-admin.php,1432,/admin/logout.php,True,literal exists
admin/dashboards/super-admin.php,1465,/admin/api_settings.php,True,literal exists
admin/dashboards/super-admin.php,1494,/admin/api_branding.php?action=get_assets,True,literal exists
admin/dashboards/super-admin.php,1584,/admin/api_branding.php,True,literal exists
admin/dashboards/super-admin.php,1609,/admin/api_branding.php,True,literal exists
admin/dashboards/super-admin.php,1674,/admin/api_branding.php,True,literal exists
admin/dashboards/super-admin.php,1712,/admin/api_test_seed.php,True,literal exists
admin/dashboards/teacher.php,202,/admin/logout.php,True,literal exists
admin/dashboards/teacher.php,243,/admin/dashboard.php,True,literal exists
admin/dashboards/teacher.php,1270,/admin/logout.php,True,literal exists
admin/dashboards/teacher.php,783,/admin/api_subjects.php,True,literal exists
admin/dashboards/teacher.php,884,/admin/api_attendance.php,True,literal exists
admin/dashboards/teacher.php,1021,/admin/api_communication.php,True,literal exists
admin/dashboards/teacher.php,1037,/admin/api_communication.php?action=get_submissions,True,literal exists
admin/dashboards/teacher.php,22,../index.php,True,literal exists
admin/groups.php,114,dashboard.php,True,literal exists
admin/groups.php,7,index.php,True,literal exists
admin/id_cards/generate_id_card.php,141,view_id_card.php?member_id=,True,literal exists
admin/id_cards/view_id_card.php,286,generate_id_card.php,True,literal exists
admin/id_cards/view_id_card.php,20,../index.php,True,literal exists
admin/index.php,318,backend/login.php,True,literal exists
admin/index.php,7,dashboard.php,True,literal exists
admin/js/hr_data_sync.js,45,/admin/api_import_members.php,True,literal exists
admin/js/id-card-directory.js,23,/admin/id_cards/generate_id_card.php,True,literal exists
admin/js/id-card-directory.js,67,/admin/id_cards/view_id_card.php?member_id=,True,literal exists
admin/js/id_card_designer.js,238,/admin/api_branding.php,True,literal exists
admin/js/id_card_designer.js,258,/admin/api_branding.php?action=get_assets,True,literal exists
admin/migrations/002_add_academic_attendance_workflow.php,587,../dashboard.php,True,literal exists
admin/migrations/002_migration.php,587,../dashboard.php,True,literal exists
admin/migrations/003_add_assessments.php,214,../dashboard.php,True,literal exists
